id,name,text,trans
1008003030010,霧子,"おはよう……
ユキノシタさん……","Good morning... 
Saxifrage-san... "
1008003030020,霧子,"お水……
どうぞ……","Here's... 
some water... "
0000000000000,アイドル,"苦しんで苦しんで努力してても……
──出られなくなるかもしれないのに……！","When no matter how hard I struggle or try... 
──I might not even get through... !"
1008003030030,霧子,…………────,......────
1008003030040,霧子,"お日さま……
気持ちいいね……","The sun... 
feels nice, doesn't it... "
0000000000000,アイドルのマネージャー,──前十字靭帯を傷めてるんです……,──She tore her anterior cruciate ligament...
1008003030050,霧子,────,────
0000000000000,プロデューサー,"──あれ
霧子、もう来てるのか","──Huh?
Kiriko, you're already here."
0000000000000,プロデューサー,"…………
気にしてるよな……あのこと──","......
She's concerned about it... isn't she──"
0000000000000,プロデューサー,…………,......
0000000000000,プロデューサー,"……
霧子──","......
Kiriko──"
1008003030060,霧子,"──プロデューサーさん……！
お、おはようございます……","──Producer-san...!
G-Good morning..."
0000000000000,プロデューサー,"おう、おはよう
──ユキノシタさんもな","Yeah, good morning.
──And good morning to you too, Saxifrage-san."
0000000000000,プロデューサー,"……ははっ
水、美味しそうだ","...Haha.
That water looks refreshing."
0000000000000,プロデューサー,いつも世話してくれてありがとな,Thanks for always taking care of the plants.
1008003030070,霧子,い、いえ……！,I-It's nothing...!
1008003030080,霧子,………………,......
0000000000000,プロデューサー,…………,......
0000000000000,プロデューサー,"……えっと
……あの子さ──","...Umm.
...About that girl──"
0000000000000,プロデューサー,──あの後、マネージャーさんから連絡あったよ,──Her manager contacted me after that.
0000000000000,プロデューサー,"霧子のこと巻きこんじゃってすみません、ってさ
きっと気にしてるんじゃないかって","She wanted to apologize for getting you involved, 
Kiriko. She was worried that you'd still be concerned
about it."
0000000000000,プロデューサー,"もうあんなことはさせないから、同じ現場になったりしたら
よろしくお願いしますって、丁寧に","She'll make sure that girl doesn't do that again, so 
please treat her well if we meet on location again, 
she requested."
1008003030090,霧子,"…………！
そ、そうなんですね……","......!
I-I see..."
1008003030100,霧子,でも──,But...
0000000000000,アイドル,"いいよねぇ、あんたは！
なんにも考えないで出られるんだから……！","You have it so easy, now don't you!?
You can just get in without a second thought... !"
1008003030110,霧子,"前十字って……
そんな……簡単には……","An ACL injury... 
won't heal... so easily... "
0000000000000,プロデューサー,"──そうだな
『G.R.A.D.』は棄権するそうだ","──That's right.
I heard she'll be dropping out of ""G.R.A.D."""
1008003030120,霧子,"…………
………………","...... 
......... "
1008003030130,霧子,"…………
わたしは……──","...... 
I'm...──"
1008003030140,霧子,"わたしはただ……
パンを食べたいだけの人……","I'm just... 
someone that wants to eat bread... "
0000000000000,プロデューサー,……霧子……？,...Kiriko ...?
1008003030150,霧子,"そ、その……
いえ……","Uh, umm...
It's nothing... "
0000000000000,プロデューサー,"──ああやって感情をぶつけられると、
心が縮んじゃうよな……","──When someone comes at you like that,
it makes your heart shrink a little, doesn't it..."
1008003030160,霧子,"……
そんなんじゃ……──","......
That's not...──"
1008003030170,霧子,…………,......
0000000000000,プロデューサー,"きっとあの子は本当につらいんだと思う
誰かにあたっても仕方ないのかもしれない。でも──","I'm sure that girl is having a tough time.
It makes sense that she'd lash out like that. But──"
0000000000000,プロデューサー,あとは彼女が頑張らなきゃいけない,It's all up to her own effort from here on.
0000000000000,プロデューサー,"霧子は、
霧子のことに向かいあってくれ","Kiriko, you should focus on facing up against your
own challenges too."
1008003030180,霧子,"わたしは……
わたしのことに……","I should...
face my own..."
1008003030190,霧子,…………,......
0000000000000,プロデューサー,"その感じで、
『G.R.A.D.』も張りきっていこう！","Let's keep it up and give it our all
for ""G.R.A.D"", too!"
0000000000000,担任,今回の試験、頑張りましたね,You did very well on this round of exams.
0000000000000,担任,"ちゃんとした模試を受けてみないとわからないけど……
幽谷さん、国公立の医学部も十分狙えると思うの","We won't know unless you take an actual mock exam... 
but I think you could even aim for medical school at 
a national university, Yukoku-san."
1008003030200,霧子,お日さま……,"Mr. Sun… "
1008003030210,霧子,わたしは……──,"I… "
1008003030220,霧子,"じゅうぶんに動けるし……
パンも……スープもあります……","I can move well… 
and I have bread… and soup too… "
1008003030230,霧子,なのに……,"And yet… "
0000000000000,アイドル,"いいよねぇ、あんたは！
なんにも考えないで出られるんだから……！","You have it so easy, now don't you!?
You can just get in without a second thought... !"
1008003030240,霧子,"ふかふかのパンを……
もらおうとしてるんです……","I'm trying to take… 
that fluffy bread too… "
1008003030250,霧子,"パンを……
もらうべき人は……","Even though... 
the one who really deserves it..."
1008003030260,霧子,わたしじゃ……──,Isn't me...──
info,produce_events/100800303.json,
Translator,Rinka,
