id,name,text,trans
1008003050010,霧子,"──『光合成は、葉緑体内の（A）における光が
直接関係する過程と──』……","""Photosynthesis is a light-dependent process
occurring in the (A) of chloroplasts, and""... "
1008003050020,霧子,──（A）は……チラコイド……,"──(A) is... thylakoids... "
0000000000000,プロデューサー,医者に、なりたいのか──？,Do you want to become a doctor──?
1008003050030,霧子,…………,......
1008003050040,霧子,"わかりません……
でも……────","I don't know...
But...────"
1008003050050,霧子,"お医者さんになれば……
パンを……","If I became a doctor... 
I could give the bread... "
0000000000000,プロデューサー,……パン？,... Bread?
1008003050060,霧子,…………,......
1008003050070,霧子,"ふかふかのパンを……
とりさんに……渡せます……","I could give... 
the fluffy bread... to the bird... "
1008003050080,霧子,"……問い３……
『光の波長と光合成速度の関係を──』……","... Question 3... 
""The relationship between the wavelength of light
and the rate of biological effectiveness is──""... "
1008003050090,霧子,──『作用スペクトル』……,"── ""Action spectrum""... "
1008003050100,霧子,"わたしは……
じゅうぶん動けるし……食べれるのに……","I can... 
move pretty well... and I have food to eat... "
1008003050110,霧子,"………………
なのに──────","......
And yet──────"
0000000000000,プロデューサー,"……そうか
ねずみさんととりさんの話か……","... I see.
That story with the mouse and the bird... "
0000000000000,プロデューサー,"霧子がねずみさんで──
とりさんは……あの子だよな","Kiriko, you're the mouse──
and the bird is... that girl, right?"
1008003050120,霧子,…………,......
0000000000000,プロデューサー,"……霧子は、ねずみさんじゃなくて
あの子にパンを渡せるような──","... But, you don't want to be the mouse.
You want to be someone who can give her bread... "
0000000000000,プロデューサー,"──いぬさん……
たとえば、医者になりたい","──Like the dog... 
For example, a doctor."
1008003050130,霧子,"──っ
な、なれるか……どうか……！","──!
I d-don't know... if I can...!"
1008003050140,霧子,"なりたいか……どうか……
……わからなくて────","I don't know... if I want...
... to become one────"
0000000000000,プロデューサー,"……でも霧子、あの時言ってたじゃないか
『どっちにも理由がある』って……","...But Kiriko, remember what you said then?
""Both of them deserve it""?"
0000000000000,プロデューサー,"ねずみさんにも、
パンをもらう理由があるんじゃないのか？","Didn't you think that the mouse
has a good reason to receive the bread too?"
1008003050150,霧子,"……
それは…………","......
That's..."
0000000000000,プロデューサー,──ねずみさんにはあるけど、霧子にはない……？,"──So the mouse does, but you don't, Kiriko...?"
1008003050160,霧子,…………っ,......
1008003050170,霧子,──わかりません……,──I don't know...
1008003050180,霧子,"ないんじゃないか……って……
思えて……","I think... maybe...
I might not..."
1008003050190,霧子,"だから……
パンを……つくる人に……","That's why...
The one... making the bread..."
1008003050200,霧子,"……
なれたら────","......
If I could be that────"
0000000000000,プロデューサー,"……そっか
ごめんな、責めたりしてるわけじゃないんだ","...I see.
Sorry, I wasn't trying to put you on the spot."
0000000000000,プロデューサー,"模試、応援するよ
俺も","I support you taking the mock exams, too."
1008003050210,霧子,"……！
プロデューサーさん……","......!
Producer-san..."
0000000000000,プロデューサー,"『その感じで、
『G.R.A.D.』も張りきっていこう！』","""Let's keep it up and give it our all
for ""G.R.A.D"", too!"""
0000000000000,プロデューサー,"霧子にとって、
大事だと思うことをやってみよう","Let's focus on the things that
you believe are important, Kiriko."
0000000000000,プロデューサー,"霧子がどうするべきなのか──
何かわかるまで、全部","Let's try everything until you've got a clear 
idea of what you believe you should do."
1008003050220,霧子,で、でも……っ,B-But...!
0000000000000,プロデューサー,"ははっ
『G.R.A.D.』とスケジュールがかぶってるよなぁ……！","Haha.
The schedules for the mock exams and ""G.R.A.D.""
are going to overlap a lot...!"
0000000000000,プロデューサー,"けど、入試だって
私立なんかだとガンガンかぶるからな","But even when it comes to actual entrance exams, 
the schedules for private universities' tests will clash 
all over the place."
1008003050230,霧子,…………！,.......!
0000000000000,プロデューサー,入試もオーディションだ、霧子,"The entrance exam is an audition too, Kiriko."
0000000000000,プロデューサー,"誰かと競って、ひとつの場所を目指すのは
半端なことじゃない……","Competing with others and aiming for the same goal
isn't something to be done half-heartedly."
1008003050240,霧子,…………っ,......
0000000000000,プロデューサー,"霧子が本当に医者になるんだったら、
霧子が本当にアイドルの道を進んでいくんだったら──","Whether you really choose to become a doctor,
and whether you really choose to continue down the 
path of being an idol──"
0000000000000,プロデューサー,"今やれること全部にぶつかっていく経験は
絶対に無駄になったりしない","The experience of doing everything you can 
possibly do right now won't ever go to waste."
0000000000000,プロデューサー,"そうじゃないものを目指すとしてもだ
……な？","Even if you choose to pursue something completely 
different... Don't you think so?"
1008003050250,霧子,…………────,......────
0000000000000,プロデューサー,"よし、じゃあ……
まずは模試の申し込みから！","Alright, then...
Let's start by applying for the mock exams!"
1008003050260,霧子,…………はい────,...Yes────
0000000000000,プロデューサー,頑張ろう！,Let's do our best!
1008003050270,霧子,…………っ,......
0000000000000,試験監督官,"はい、筆記具を置いてください
準備ができた方から退室をお願いします","Alright, put your writing materials down.
Please leave the exam hall as soon as you put your
belongings away."
1008003050280,霧子,────よし……っ,────Yes...!
1008003050290,霧子,終わり…………！,I'm done...!
0000000000000,プロデューサー,"お望みなら、
模試に加えて強化レッスンも追加だ！","If you'd like, we can schedule some intense lessons 
alongside your mock exams!"
1008003050300,霧子,"どうしたら……
パンを……つくれるか……","Until...
I learn how... to make bread..."
1008003050310,霧子,わかるまで……なんでも、全部…………────,"Until I know... I'll try, everything......────"
1008003050320,霧子,"お日さま……
このまま強化レッスンに……直行します……！","Mr. Sun... 
I'm going... straight for intense lessons now... !"
1008003050330,霧子,"急げ……
急げ……！","Hurry... 
Hurry... !"
info,produce_events/100800305.json,
Translator,Rinka,
